iter	Passed	Remaining
491	637	658
492	638	656
493	639	655
494	641	654
495	642	652
496	643	651
497	644	649
498	645	648
499	647	647
500	648	645
501	649	644
502	650	643
503	652	641
504	653	640
505	654	639
506	655	637
507	657	636
508	658	635
509	659	633
510	661	632
511	662	631
512	663	629
513	664	628
514	666	627
515	667	626
516	668	624
517	670	623
518	671	622
519	672	621
520	674	619
521	675	618
522	676	617
523	677	615
524	679	614
525	680	613
526	681	611
527	683	610
528	684	609
529	685	607
530	686	606
531	687	604
532	688	603
533	690	602
534	691	600
535	692	599
536	693	598
537	694	596
538	696	595
539	697	594
540	698	592
541	700	591
542	701	590
543	702	589
544	704	587
545	705	586
546	706	585
547	707	583
548	709	582
549	710	581
550	711	580
551	713	578
552	714	577
553	715	575
554	716	574
555	717	573
556	719	571
557	720	570
558	721	569
559	722	567
560	723	566
561	725	565
562	726	563
563	727	562
564	729	561
565	730	559
566	731	558
567	732	557
568	733	555
569	735	554
570	736	553
571	737	551
572	738	550
573	740	549
574	741	548
575	742	546
576	744	545
577	745	544
578	746	542
579	747	541
580	749	540
581	750	538
582	751	537
583	752	536
584	754	534
585	755	533
586	756	532
587	757	531
588	758	529
589	760	528
590	761	526
591	762	525
592	763	524
593	765	522
594	766	521
595	767	520
596	768	518
597	769	517
598	771	516
599	772	514
600	773	513
601	774	512
602	776	511
603	777	509
604	778	508
605	780	507
606	781	505
607	782	504
608	783	503
609	785	502
610	786	500
611	787	499
612	789	498
613	790	496
614	791	495
615	793	494
616	794	493
617	795	491
618	796	490
619	798	489
620	799	487
621	801	486
622	802	485
623	803	484
624	804	482
625	805	481
626	807	480
627	808	478
628	809	477
629	811	476
630	812	475
631	813	473
632	815	472
633	816	471
634	817	470
635	818	468
636	820	467
637	821	466
638	822	464
639	824	463
640	825	462
641	826	460
642	827	459
643	829	458
644	830	457
645	832	456
646	833	454
647	834	453
648	836	452
649	837	450
650	838	449
651	840	448
652	841	446
653	842	445
654	843	444
655	845	443
656	846	441
657	847	440
658	849	439
659	850	438
660	851	436
661	852	435
662	854	434
663	855	432
664	856	431
665	858	430
666	859	429
667	861	427
668	862	426
669	863	425
670	864	423
671	865	422
672	867	421
673	868	419
674	869	418
675	870	417
676	871	415
677	873	414
678	874	413
679	875	412
680	877	410
681	878	409
682	879	408
683	880	406
684	882	405
685	883	404
686	884	403
687	885	401
688	886	400
689	888	399
690	889	397
691	891	396
692	892	395
693	893	394
694	895	392
695	896	391
696	897	390
697	898	388
698	900	387
699	901	386
700	902	385
701	904	383
702	905	382
703	906	381
704	907	379
705	909	378
706	910	377
707	911	376
708	913	374
709	914	373
710	915	372
711	917	370
712	918	369
713	919	368
714	921	367
715	922	365
716	923	364
717	924	363
718	926	362
719	927	360
720	928	359
721	929	358
722	931	356
723	932	355
724	933	354
725	935	352
726	936	351
727	937	350
728	938	348
729	940	347
730	941	346
731	942	345
732	943	343
733	945	342
734	946	341
735	947	340
736	949	338
737	950	337
738	951	336
739	953	334
740	954	333
741	955	332
742	956	331
743	958	329
744	959	328
745	961	327
746	962	326
747	963	324
748	964	323
749	966	322
750	967	320
751	968	319
752	970	318
753	971	316
754	972	315
755	973	314
756	975	312
757	976	311
758	978	310
759	979	309
760	980	308
761	982	306
762	984	305
763	986	304
764	987	303
765	989	302
766	990	300
767	992	299
768	993	298
769	995	297
770	997	296
771	999	295
772	1000	293
773	1001	292
774	1003	291
775	1004	289
776	1005	288
777	1007	287
778	1008	286
779	1009	284
780	1011	283
781	1012	282
782	1013	280
783	1015	279
784	1016	278
785	1017	277
786	1019	275
787	1020	274
788	1022	273
789	1023	272
790	1025	270
791	1026	269
792	1028	268
793	1030	267
794	1032	266
795	1033	264
796	1035	263
797	1036	262
798	1038	261
799	1039	259
800	1041	258
801	1042	257
802	1043	256
803	1045	254
804	1046	253
805	1048	252
806	1049	250
807	1051	249
808	1052	248
809	1054	247
810	1055	246
811	1057	244
812	1058	243
813	1059	242
814	1060	240
815	1062	239
816	1063	238
817	1065	236
818	1066	235
819	1068	234
820	1070	233
821	1073	232
822	1074	231
823	1076	230
824	1078	228
825	1081	227
826	1083	226
827	1085	225
828	1086	224
829	1088	222
830	1089	221
831	1091	220
832	1092	219
833	1094	217
834	1095	216
835	1097	215
836	1098	213
837	1100	212
838	1102	211
839	1104	210
840	1105	209
841	1107	207
842	1109	206
843	1110	205
844	1112	204
845	1114	202
846	1115	201
847	1117	200
848	1118	198
849	1120	197
850	1123	196
851	1125	195
852	1127	194
853	1128	192
854	1130	191
855	1131	190
856	1133	189
857	1135	187
858	1137	186
859	1138	185
860	1139	184
861	1141	182
862	1142	181
863	1144	180
864	1145	178
865	1147	177
866	1148	176
867	1149	174
868	1151	173
869	1153	172
870	1155	171
871	1156	169
872	1157	168
873	1159	167
874	1161	165
875	1162	164
876	1164	163
877	1165	161
878	1167	160
879	1168	159
880	1171	158
881	1172	156
882	1174	155
883	1175	154
884	1177	152
885	1178	151
886	1180	150
887	1181	149
888	1182	147
889	1184	146
890	1186	145
891	1187	143
892	1188	142
893	1190	141
894	1191	139
895	1192	138
896	1194	137
897	1195	135
898	1197	134
899	1198	133
900	1200	131
901	1201	130
902	1203	129
903	1204	127
904	1206	126
905	1207	125
906	1208	123
907	1210	122
908	1211	121
909	1213	119
910	1215	118
911	1216	117
912	1218	116
913	1219	114
914	1221	113
915	1222	112
916	1223	110
917	1224	109
918	1225	108
919	1227	106
920	1228	105
921	1230	104
922	1231	102
923	1232	101
924	1233	100
925	1235	98
926	1236	97
927	1238	96
928	1239	94
929	1240	93
930	1242	92
931	1243	90
932	1245	89
933	1246	88
934	1247	86
935	1249	85
936	1250	84
937	1251	82
938	1253	81
939	1254	80
940	1256	78
941	1257	77
942	1258	76
943	1260	74
944	1261	73
945	1262	72
946	1264	70
947	1265	69
948	1266	68
949	1268	66
950	1269	65
951	1270	64
952	1272	62
953	1273	61
954	1274	60
955	1275	58
956	1276	57
957	1278	56
958	1279	54
959	1280	53
960	1281	52
961	1283	50
962	1284	49
963	1285	48
964	1287	46
965	1288	45
966	1289	44
967	1290	42
968	1291	41
969	1293	39
970	1294	38
971	1295	37
972	1297	35
973	1298	34
974	1299	33
975	1301	32
976	1303	30
977	1304	29
978	1305	28
979	1306	26
980	1308	25
981	1309	24
982	1311	22
983	1312	21
984	1313	20
985	1314	18
986	1316	17
987	1318	16
988	1319	14
989	1320	13
990	1322	12
991	1323	10
992	1324	9
993	1326	8
994	1327	6
995	1328	5
996	1330	4
997	1331	2
998	1333	1
999	1335	0
